year SST SR_resid  SR_residuals_temp  SSB pred_rec srmod_rec  
1965 8.85384 0.213168 0.138875 568.864 20771.7 16783.9
1966 9.02403 -0.215683 0.137688 663.662 15238.6 18906.7
1967 9.3653 0.186845 0.11912 766.346 24903 20658.9
1968 10.4559 0.0640965 -0.0850529 952.189 20881 19584.6
1969 9.78035 -0.00479807 0.0674246 1166.12 25756.9 25880.8
1970 10.0602 -0.161205 0.0145237 1408.12 23139.9 27187.6
1971 9.12985 -0.735656 0.134242 1541.05 15326.3 31983.7
1972 8.29326 -0.930405 0.104791 1656.41 12633.7 32033.1
1973 9.5787 -0.155195 0.096531 1556.69 26491.7 30939.2
1974 8.92675 -0.4173 0.139024 1335.73 19747.6 29974.1
1975 9.74712 -0.354427 0.0727408 1021.02 16832.7 23992.7
1976 9.10379 -0.634617 0.135283 975.719 13150.6 24806
1977 9.25545 -0.537903 0.127455 940.717 14031.7 24028.1
1978 10.7102 0.155041 -0.164372 1137 23614.4 20222.9
1979 10.172 0.96339 -0.0106674 1028.2 58100.5 22171
1980 10.4426 0.196476 -0.0812361 962.633 24100 19801.1
1981 10.0831 0.231316 0.0095565 1139.76 30371.3 24099.3
1982 10.6346 -0.40175 -0.139525 1720.25 17042.7 25469.3
1983 9.29017 0.316675 0.125063 2346.11 49677.2 36193.2
1984 10.5954 -0.774569 -0.127093 3088.84 13091.6 28404.4
1985 10.2745 0.0645113 -0.0357958 3159.86 33106.3 31038
1986 9.53281 -1.00754 0.102102 3630.61 12633.5 34601.3
1987 9.34451 -1.61739 0.120869 3557.81 7035.79 35459.7
1988 10.5289 -1.65714 -0.106581 3625.41 5357.48 28096.1
1989 9.94015 -1.05156 0.0390011 3462.94 11494 32896.9
1990 10.4388 0.49434 -0.0801462 3010.81 48916.1 29837.5
1991 9.8922 -0.280732 0.048028 2543.49 25569.6 33856.7
1992 10.3118 -0.32717 -0.0454281 2030.44 21315.3 29565.1
1993 9.29685 0.254951 0.124576 1944.7 44657.4 34607.4
1994 10.527 -0.665371 -0.106013 2603.84 14948.7 29078.4
1995 9.76045 -1.21545 0.0706318 3026.11 10285.2 34679.5
1996 9.89658 -0.418718 0.0472214 3231.87 22116.7 33617.6
1997 9.3808 -0.175733 0.117764 3172.6 30341.5 36170.6
1998 10.1602 -0.774736 -0.00790206 3079.68 14750.8 32009.6
1999 9.04531 -0.852535 0.137162 2610.05 15812.5 37089.6
2000 8.65013 -0.409175 0.133231 2747.85 24593.3 37027.1
2001 9.27298 -0.0672111 0.126275 2672.09 34349.1 36737.1
2002 9.3465 -0.466444 0.120705 2728.6 22931.8 36560.5
2003 10.5275 -0.729555 -0.106171 2547.68 13992.7 29023
2004 10.9425 -1.389 -0.247338 2598.12 6293.45 25242.1
2005 11.7093 -1.3951 -0.592186 2906.1 4439.83 17916.4
2006 10.9169 -0.804895 -0.237694 2561.78 11383.4 25458.5
2007 9.36056 -0.389407 0.119526 2338.67 24371.4 35974.7
2008 9.71845 -0.90208 0.0771618 1901.13 13296.1 32771.3
2009 9.03015 0.4608 0.137545 1437.12 49235.5 31056.7
2010 8.81331 -0.375545 0.138366 1516.72 21902 31884.6
2011 9.2626 -0.890228 0.12698 1558.73 13102.8 31914.4
2012 8.343 -1.07691 0.110171 1927.69 11588.9 34020.1
2013 7.98873 0.228953 0.061841 2363.66 42768 34016.2
2014 9.29699 0.277861 0.124567 2684.7 48431.3 36681.9
2015 11.8912 0.234163 -0.690012 2613.7 20499.9 16220.2
2016 10.4426 -1.3536 -0.0812261 2435.78 7648.23 29608.9
2017 12.0865 -0.604295 -0.801828 2695.35 7938.71 14527.5
2018 9.94597 -0.826939 0.037876 3127.29 14632.1 33453.4
2019 10.1957 0.805782 -0.0162977 2971.29 71257.2 31833.3
2020 11.7608 0.0193232 -0.619268 2867.92 17785.2 17444.9
2021 11 -0.588268 -0.269398 2179.41 13356 24052.3
