year SST SR_resid  SR_residuals_temp  SSB pred_rec srmod_rec  
1978 10.7102 0.276295 -0.138934 1143.18 23559.7 17872.1
1979 10.172 1.09576 0.0114455 1034.56 58050.5 19405.5
1980 10.4426 0.330831 -0.0581694 968.164 24043.4 17271
1981 10.0831 0.356879 0.031673 1144.05 30302.7 21207.5
1982 10.6346 -0.314394 -0.114901 1722.37 17002.8 23284.1
1983 9.29017 0.361308 0.154147 2346.03 49637.6 34585.7
1984 10.5954 -0.772319 -0.102846 3086.25 13090.3 28337.6
1985 10.2745 0.0647801 -0.0134926 3155.42 33123.9 31046.2
1986 9.53281 -1.0408 0.12773 3624.51 12645.5 35805.5
1987 9.34451 -1.64875 0.149078 3551.74 7040.67 36614.8
1988 10.5289 -1.6888 -0.0829053 3620.04 5358.81 29007.1
1989 9.94015 -1.07181 0.0614523 3458.83 11492.4 33565.3
1990 10.4388 0.502762 -0.0571031 3007.88 48905.6 29581
1991 9.8922 -0.241889 0.0706823 2541.34 25557.5 32551.4
1992 10.3118 -0.255031 -0.0230038 2028.84 21301.3 27489.3
1993 9.29685 0.326262 0.15355 1943.4 44637.6 32211.2
1994 10.527 -0.631582 -0.0823524 2602.44 14940.7 28097.3
1995 9.76045 -1.20869 0.0940787 3024.39 10280.7 34431
1996 9.89658 -0.424295 0.0698552 3229.87 22111 33796.9
1997 9.3808 -0.182436 0.145421 3170.49 30335.3 36406.5
1998 10.1602 -0.769999 0.0142023 3077.51 14745.8 31847.4
1999 9.04531 -0.829028 0.170919 2608.16 15806.8 36214.8
2000 8.65013 -0.404542 0.177037 2746.01 24587.3 36847
2001 9.27298 -0.043229 0.155649 2670.41 34341.3 35858.4
2002 9.3465 -0.444898 0.148883 2726.92 22927.3 35774.2
2003 10.5275 -0.691787 -0.082506 2546.08 13989.7 27941.4
2004 10.9425 -1.35951 -0.218689 2596.56 6292.07 24503
2005 11.7093 -1.40347 -0.545341 2904.54 4440.14 18068.3
2006 10.9169 -0.772661 -0.209451 2560.47 11380.8 24645.4
2007 9.36056 -0.342425 0.147488 2337.5 24366.5 34316.8
2008 9.71845 -0.822893 0.100934 1900.15 13289.2 30260.4
2009 9.03015 0.559904 0.171631 1436.32 49217.5 28116.2
2010 8.81331 -0.286938 0.177646 1515.93 21891.2 29166.5
2011 9.2626 -0.794839 0.156531 1557.92 13093.5 28990
2012 8.343 -1.02924 0.163927 1926.68 11584.8 32425.3
2013 7.98873 0.234828 0.129397 2362.36 42763.2 33813.2
2014 9.29699 0.301561 0.153538 2683.07 48426.9 35819.6
2015 11.8912 0.23874 -0.637138 2611.88 20501.3 16147.2
2016 10.4426 -1.30838 -0.0581596 2434.12 7643.5 28282.2
2017 12.0865 -0.611926 -0.741753 2693.84 7941.76 14644.4
2018 9.94597 -0.826334 0.0603056 3125.89 14616.8 33398.4
2019 10.1957 0.816218 0.00584066 2970.04 71143.5 31452.6
2020 11.7608 0.00984502 -0.570781 2866.71 17752.3 17578.4
2021 11 -0.542486 -0.23979 2178.19 13221.9 22745.4
